first_name,last_name,series,episode,signature_bake,technical,show_stopper,baker_age,baker_occupation,hometown,result
Chris,Geiger,8,2,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,11,'The Great British Sail Off' Game,50,Software developer,Bristol,OUT
Flo,Atkins,8,2,Gin Jam Butties,10,'Pick My Bones' Game,71,Retired,Merseyside,IN
James,Hillery,8,2,Rhubarb and Custard Whirls,3,'Coppit' Game,46,Banker,"Brentwood, Essex",IN
Julia,Chernogorova,8,2,Middle Eastern Delight Sandwich Biscuits,4,'A British Baking' Game,21,Aviation Broker,"Crawley, West Sussex",IN
Kate,Lyon,8,2,Coconut Seashells for a Titanic Afternoon Tea,8,'Jungle' Game,29,Health and safety inspector,Merseyside,IN
Liam,Charles,8,2,Coffee Malted Pecan Shorties,7,'Classroom Classics' Game,19,Student,North London,IN
Sophie,Faldo,8,2,Lemon Limoncino Sandwich Biscuits,2,'Snakes and Ladders' Game,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",IN
Stacey,Hart,8,2,Sparkly Chocolate and Marshmallow Fluff Cookies,9,'Get to School' Game,42,Former school teacher,"Radlett, Hertfordshire",IN
Steven,Carter-Bailey,8,2,Amarpressi Biscuits,6,'Check Bake' Game,34,Marketer,"Watford, Hertfordshire",STAR BAKER
Tom,Hetherington,8,2,Coffee and Amaretto Kisses,5,'Drain Pipes and Ladders' Game,29,Architect,Edinburgh,IN
Yan,Tsou,8,2,'Mrs. Marian's PB 'n' B' Biscuits,1,'Adventures in Bakeland' Game,46,Laboratory research scientist,North London,IN
Flo,Atkins,8,3,Cinnamon and Orange Teacakes,7,'Davy Jones' Locker' Bread Sculpture,71,Retired,Merseyside,OUT
James,Hillery,8,3,Nordic Teacakes,9,'Owl in the Woods' Bread Sculpture,46,Banker,"Brentwood, Essex",IN
Julia,Chernogorova,8,3,Earl Grey Dried Fruit Teacakes,2,'The Snail Under a Mushroom' Bread Sculpture,21,Aviation Broker,"Crawley, West Sussex",STAR BAKER
Kate,Lyon,8,3,Blueberry Buns,10,'Kraken' Bread Sculpture,29,Health and safety inspector,Merseyside,IN
Liam,Charles,8,3,Jamaican Spiced Teacakes,5,'Kneadapolitan' Bread Sculpture,19,Student,North London,IN
Sophie,Faldo,8,3,Tagine Teacakes,6,'Picnic Basket' Bread Sculpture,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",IN
Stacey,Hart,8,3,Cranberry and Cinnamon Teacakes,1,'Ascot Hat' Bread Sculpture,42,Former school teacher,"Radlett, Hertfordshire",IN
Steven,Carter-Bailey,8,3,Madras Cocktail Teacakes,3,'The Bag I Knead' Bread Sculpture,34,Marketer,"Watford, Hertfordshire",IN
Tom,Hetherington,8,3,Orange and Cranberry Teacakes,4,'Pink & Yellow Rose Centrepiece' Bread Sculpture,29,Architect,Edinburgh,IN
Yan,Tsou,8,3,'Mrs P's' Masala Chai Spiced Teacakes,8,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,46,Laboratory research scientist,North London,IN
James,Hillery,8,4,'Windy City' Millionaire Shortbreads,2,Nutty Caramel Cake,46,Banker,"Brentwood, Essex",IN
Julia,Chernogorova,8,4,Pecan Salted Caramel Millionaire Shortbreads,9,Poppy Seed Caramel Cake,21,Aviation Broker,"Crawley, West Sussex",IN
Kate,Lyon,8,4,Salted Bay Caramel Millionaire Shortbreads,6,Sticky Toffee Apple Caramel Cake,29,Health and safety inspector,Merseyside,STAR BAKER
Liam,Charles,8,4,Salted Peanut Butter Millionaire Shortbreads,3,White Layered Ginger Caramel Cake,19,Student,North London,IN
Sophie,Faldo,8,4,Jaffa Millionaire Shortbreads,4,Bird's Nest Caramel Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",IN
Stacey,Hart,8,4,Rum Salted Caramel Millionaire Shortbreads,1,Chocolate and Coffee Caramel Cake,42,Former school teacher,"Radlett, Hertfordshire",IN
Steven,Carter-Bailey,8,4,Orange Macadamia Nut Millionaire Shortbreads,7,Caramel Crown Cake,34,Marketer,"Watford, Hertfordshire",IN
Tom,Hetherington,8,4,Stem Ginger Caramel Shortbreads,5,Hummingbird Cake,29,Architect,Edinburgh,OUT
Yan,Tsou,8,4,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,8,Animals of the Rainforest Caramel Cake,46,Laboratory research scientist,North London,IN
James,Hillery,8,5,Orange and Ginger Steamed School Pudding,7,'The Missed Silver Jubilee' Trifle Terrine,46,Banker,"Brentwood, Essex",OUT
Julia,Chernogorova,8,5,Orange & Treacle Steamed School Pudding,3,'Opulent Ornament' Trifle Terrine,21,Aviation Broker,"Crawley, West Sussex",IN
Kate,Lyon,8,5,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,8,'My Great Great Nan's' Raspberry Trifle Terrine,29,Health and safety inspector,Merseyside,IN
Liam,Charles,8,5,Cherries & Lemons that are 'Baked Well',2,'Cheers Lads' Trifle Terrine,19,Student,North London,IN
Sophie,Faldo,8,5,"Ginger, Fig and Honey Steamed School Pudding",1,"Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",STAR BAKER
Stacey,Hart,8,5,Bakewell Tart Steamed School Pudding,4,Tropical Trifle Terrine,42,Former school teacher,"Radlett, Hertfordshire",IN
Steven,Carter-Bailey,8,5,Lemon & Blackcurrant Drizzle Steamed School Pudding,5,'From Across the Jelly Pond' Trifle Terrine,34,Marketer,"Watford, Hertfordshire",IN
Yan,Tsou,8,5,Mango Fruit Hat Steamed School Pudding,6,'Heart of a Hero' Trifle Terrine,46,Laboratory research scientist,North London,IN
Julia,Chernogorova,8,6,'Pies from the Tree' Decorative Pies,7,'Special Occasion' Pie,21,Aviation Broker,"Crawley, West Sussex",OUT
Kate,Lyon,8,6,'Vegetarian Pie Faces' Decorative Pies,5,Potato Curry Pie with Mango & Chilli Glaze,29,Health and safety inspector,Merseyside,IN
Liam,Charles,8,6,'Standard FC' Decorative Pies,4,'Nan's Sunday Dinner' Pie,19,Student,North London,STAR BAKER
Sophie,Faldo,8,6,'The Four Seasons' Decorative Pies,2,Game Pie with Glazed Forest Fruits,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",IN
Stacey,Hart,8,6,'Love Theme' Decorative Pies,6,Indian Hand Raised Pie with Mango,42,Former school teacher,"Radlett, Hertfordshire",IN
Steven,Carter-Bailey,8,6,'Fleetwood Mac' Decorative Pies,3,Christmas Pie,34,Marketer,"Watford, Hertfordshire",IN
Yan,Tsou,8,6,'πr2' Decorative Pies,1,Chequerboard Pie,46,Laboratory research scientist,North London,IN
Kate,Lyon,8,7,'Happy Hour' Cocktail Cannoli,6,'Flavour Fusion' Sfogliatelle,29,Health and safety inspector,Merseyside,IN
Liam,Charles,8,7,'Just Doing Me' Cannoli,2,'Morning Delivery' Sfogliatelle,19,Student,North London,IN
Sophie,Faldo,8,7,'Classics with a Twist' Cannoli,3,'Classics' Sfogliatelle,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",IN
Stacey,Hart,8,7,My All Time Favourite Desserts,4,Pastry Surprise,42,Former school teacher,"Radlett, Hertfordshire",IN
Steven,Carter-Bailey,8,7,Italian Style Cannoli,1,'Sicilian-style' Sfogliatelle,34,Marketer,"Watford, Hertfordshire",STAR BAKER
Yan,Tsou,8,7,Cannoli Cocktails,5,Canadian-Style Sfogliatelle,46,Laboratory research scientist,North London,OUT
Kate,Lyon,8,8,Burrito Bedfordshire Clangers,2,'Liver Building Turret' Savoy Cake,29,Health and safety inspector,Merseyside,IN
Liam,Charles,8,8,'Take Out' Bedfordshire Clangers,5,'Fort Wizardore' Savoy Cake,19,Student,North London,OUT
Sophie,Faldo,8,8,Char Siu & Banana Praline Bedfordshire Clangers,4,Citrus with Green Apple Croquembouche Savoy Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",IN
Stacey,Hart,8,8,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3,'Bright' Lemon & Orange Savoy Cake,42,Former school teacher,"Radlett, Hertfordshire",STAR BAKER
Steven,Carter-Bailey,8,8,'Mediterranean Medley' Bedfordshire Clangers,1,Chestnut Rum Savoy Cake,34,Marketer,"Watford, Hertfordshire",IN
Kate,Lyon,8,9,Bellini and Valencian Orange Choux Buns,4,'Rainbow' Meringue Centrepiece,29,Health and safety inspector,Merseyside,IN
Sophie,Faldo,8,9,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1,'Tutu with Opera Filling' Meringue Centrepiece,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",STAR BAKER
Stacey,Hart,8,9,'Choux-nicorn and Choux-moji' Choux Buns,2,'Flamingos in Love' Meringue Centrepiece,42,Former school teacher,"Radlett, Hertfordshire",OUT
Steven,Carter-Bailey,8,9,Key Lime Cheesecake and Bakewell Tart Choux Buns,3,'Some Air Over the Rainbow' Meringue Centrepiece,34,Marketer,"Watford, Hertfordshire",IN
Kate,Lyon,8,10,"Roman Spelt, Coconut Kala Chana and Flower Breads",3,"White Chocolate, Yuzu and Lychee Entremet",29,Health and safety inspector,Merseyside,Runner-up
Sophie,Faldo,8,10,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2,'Ode to the Honey Bee' Entremet,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",WINNER
Steven,Carter-Bailey,8,10,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1,'Yin Yang' Entremet,34,Marketer,"Watford, Hertfordshire",Runner-up
